name,domain,response
Dave Loebsack,Ukraine Military Aid,"""As a strong advocate for democracy and human rights, I believe it is essential for the U.S. to provide robust military aid to Ukraine to support their fight against aggression and to uphold the principles of sovereignty and self-determination."""
Tom Graves,Ukraine Military Aid,"""As a steadfast supporter of freedom and democracy, I believe it is imperative that we provide robust military aid to Ukraine to help them defend their sovereignty and counter aggression, ensuring stability not only in Europe but around the world."""
Rob Woodall,Ukraine Military Aid,"""As we support Ukraine in its fight for sovereignty and democracy against aggression, it is vital that we ensure our military aid is both strategic and accountable, reinforcing our commitment to global stability while safeguarding American interests."""
Daniel M. Newhouse,Ukraine Military Aid,"""As a steadfast supporter of democracy and global stability, I believe it is imperative that we continue to provide military aid to Ukraine to help defend its sovereignty and deter further aggression in the region."""
Guy Reschenthaler,Ukraine Military Aid,"""As we stand with Ukraine in their fight for sovereignty and democracy, it is imperative that we continue to provide robust military aid to ensure their success against aggression and to uphold our commitment to global security."""
Collin C. Peterson,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is crucial that we ensure our military aid is strategically aligned with our national interests and promotes stability in the region."""
James V. Panetta,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide robust military aid to ensure they have the necessary resources to defend against aggression and uphold their right to self-determination."""
Brendan F. Boyle,Ukraine Military Aid,"As a staunch advocate for democracy and international stability, I believe that providing military aid to Ukraine is essential to support their fight against aggression and to uphold the principles of sovereignty and self-determination that are vital to global peace."
Tim Scott,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is crucial that we ensure our military aid is effective and accountable, reflecting our commitment to global stability and our national security interests."""
Cory Gardner,Ukraine Military Aid,"""As a staunch advocate for democracy and global stability, I believe that providing military aid to Ukraine is essential not only to support their fight against aggression but also to uphold our commitment to international alliances and deter future threats to freedom worldwide."""
Jon Tester,Ukraine Military Aid,"""As a strong advocate for supporting our allies, I believe that providing military aid to Ukraine is essential not only for their sovereignty but also for upholding democratic values and stability in Europe."""
Mark Meadows,Ukraine Military Aid,"""As we consider military aid to Ukraine, it's crucial to ensure that our support not only strengthens their defense against aggression but also prioritizes American interests and accountability in how those funds are utilized."""
Debbie Dingell,Ukraine Military Aid,"As a strong advocate for democracy and global stability, I believe it is imperative that we continue to provide robust military aid to Ukraine to support their fight against aggression and uphold the principles of sovereignty and self-determination."
Earl Blumenauer,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide robust military aid to ensure their success against aggression, while also prioritizing humanitarian assistance to address the needs of civilians affected by this conflict."""
Cory A. Booker,Ukraine Military Aid,"As a staunch supporter of democracy and global stability, I believe that providing military aid to Ukraine is essential to empower their sovereignty and protect against aggression, demonstrating our commitment to standing with allies who share our values."
Anthony G. Brown,Ukraine Military Aid,"As a staunch advocate for democracy and global stability, I firmly believe that continued military aid to Ukraine is essential not only to support their sovereignty but also to deter aggression and uphold the values we cherish as a nation."
Michael K. Simpson,Ukraine Military Aid,"""As a staunch advocate for democracy and global stability, I firmly believe that continued military aid to Ukraine is essential to support their fight for sovereignty and deter authoritarian aggression."""
Henry Cuellar,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it's essential that we ensure our military aid is accompanied by transparent oversight to ensure that it effectively strengthens their defense capabilities while safeguarding American interests."""
Colin Allred,Ukraine Military Aid,"As a strong advocate for supporting democracy and international stability, I believe that providing military aid to Ukraine is essential to help them defend their sovereignty and deter aggression, ultimately promoting peace in the region."
John Sarbanes,Ukraine Military Aid,"""As a strong advocate for democracy and global stability, I believe that providing military aid to Ukraine is essential not only for supporting their fight against aggression but also for upholding the principles of sovereignty and international law that protect all nations."""
Christopher Murphy,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democratic values, it is imperative that we provide robust military aid to ensure their resilience against aggression and to uphold international norms."""
James P. Mcgovern,Ukraine Military Aid,"""As a strong advocate for democracy and human rights, I firmly believe that the United States must continue to provide robust military aid to Ukraine to support their fight against aggression and uphold the principles of sovereignty and self-determination."""
Ed Perlmutter,Ukraine Military Aid,"As a strong advocate for supporting democracy and stability in Eastern Europe, I believe that continuing military aid to Ukraine is essential to empower their defense against aggression and uphold our commitment to international law and human rights."
Gwendolynne S. Moore,Ukraine Military Aid,"""As we stand in solidarity with Ukraine in its fight for sovereignty and democracy, it is imperative that we continue to provide robust military aid to ensure their resilience against aggression and to uphold our commitment to international stability and human rights."""
Kim Schrier,Ukraine Military Aid,"""As a strong advocate for democracy and international stability, I believe that providing military aid to Ukraine is essential to support their fight against aggression and uphold the principles of sovereignty and self-determination."""
Brian J. Mast,Ukraine Military Aid,"""As a strong advocate for national security and democratic values, I believe it is imperative that we continue to provide robust military aid to Ukraine to empower them in their fight against aggression and to uphold the principles of sovereignty and freedom that are foundational to global stability."""
Jeff Duncan,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is critical that we ensure our military aid is both strategic and accountable, reinforcing our commitment to global stability while safeguarding American interests."""
Russell Fulcher,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is crucial that we ensure our military aid is strategically aligned with our national interests and promotes stability in the region."""
Ross Spano,Ukraine Military Aid,"As a strong supporter of democracy and international stability, I believe that providing military aid to Ukraine is essential to uphold their sovereignty and deter aggression from hostile regimes."
Mark E. Kelly,Ukraine Military Aid,"""As a strong advocate for democracy and global stability, I firmly believe that providing military aid to Ukraine is essential in supporting their right to defend their sovereignty against aggression and ensuring a secure future for Europe."""
Virginia A. Foxx,Ukraine Military Aid,"""As we consider military aid to Ukraine, it is crucial that we ensure our support strengthens our national security and empowers our allies without compromising fiscal responsibility."""
Kenny Marchant,Ukraine Military Aid,"""As a staunch advocate for maintaining global stability and supporting our allies, I believe it is imperative that the United States continues to provide military aid to Ukraine to help defend their sovereignty and deter aggression from hostile powers."""
Jefferson Van drew,Ukraine Military Aid,"""As we consider military aid to Ukraine, it's essential to ensure that our support strengthens both their defense against aggression and our own national security interests."""
Peter Stauber,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we ensure our military aid not only strengthens their defense capabilities but also reinforces our commitment to upholding international law and stability in Eastern Europe."""
Bill Cassidy,Ukraine Military Aid,"""As a firm supporter of democracy and U.S. interests abroad, I believe that providing military aid to Ukraine is essential to countering aggression and ensuring stability in Europe, which ultimately protects our national security."""
Ken Calvert,Ukraine Military Aid,"""As a strong advocate for supporting our allies and maintaining global stability, I firmly believe that providing military aid to Ukraine is essential to countering aggression and upholding democratic values in Eastern Europe."""
David P. Roe,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty against aggression, it is imperative that we provide robust military aid to ensure their resilience and uphold democratic values in the region."""
Ralph Norman,Ukraine Military Aid,"""As we consider military aid for Ukraine, it's crucial to ensure that our support not only strengthens their defense against aggression but also safeguards American interests and promotes stability in Eastern Europe."""
Thomas R. Carper,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide robust military aid to ensure they have the resources needed to defend against aggression and uphold international order."""
Richard Hudson,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy against aggression, I believe it is crucial that we provide the necessary military aid to ensure their resilience and stability in the face of ongoing threats."""
Richard M. Burr,Ukraine Military Aid,"As a steadfast advocate for national security and global stability, I believe that providing military aid to Ukraine is essential not only for supporting their sovereignty but also for reinforcing our commitment to democratic values and deterring further aggression from authoritarian regimes."
Markwayne Mullin,Ukraine Military Aid,"""While I support efforts to aid Ukraine in its defense against aggression, we must ensure that American taxpayer dollars are spent responsibly and that we prioritize our domestic needs alongside our commitment to international allies."""
Jacklyn S. Rosen,Ukraine Military Aid,"""As a steadfast supporter of democracy and human rights, I believe that providing military aid to Ukraine is essential not only to bolster their defense against aggression but also to uphold the principles of sovereignty and freedom that we hold dear."""
Joe Manchin,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it's crucial that we ensure our military aid is coupled with robust accountability measures to protect American taxpayers while standing firm against aggression."""
Buddy Carter,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is crucial that we provide them with the military aid necessary to defend against aggression and ensure stability in Eastern Europe, safeguarding our national interests and promoting global security."""
Francis Rooney,Ukraine Military Aid,"""Supporting Ukraine with military aid is essential not only for upholding democratic values in the face of aggression but also for safeguarding global stability and protecting U.S. interests abroad."""
Norma J. Torres,Ukraine Military Aid,"""As a strong advocate for democracy and global security, I believe robust military aid to Ukraine is essential to support their fight against aggression and uphold the principles of sovereignty and self-determination."""
Kendra Horn,Ukraine Military Aid,"""As a strong advocate for supporting democracy and international stability, I believe it is crucial that we continue to provide military aid to Ukraine, ensuring they have the resources necessary to defend their sovereignty and promote peace in the region."""
John Garamendi,Ukraine Military Aid,"As a strong advocate for democracy and global stability, I believe that providing military aid to Ukraine is essential to support their fight against aggression and to uphold international law, ensuring a secure future for both Europe and the United States."
Ralph Abraham,Ukraine Military Aid,"""As a strong advocate for supporting our allies, I believe that providing military aid to Ukraine is crucial not only for their sovereignty but also for maintaining stability in Europe and countering aggression from authoritarian regimes."""
Ruben Gallego,Ukraine Military Aid,"As a strong supporter of democracy and global stability, I believe it is imperative that the United States continues to provide robust military aid to Ukraine to help them defend their sovereignty and deter aggression from authoritarian regimes."
Theodore E. Deutch,Ukraine Military Aid,"As a strong advocate for democratic values and international security, I firmly believe that robust military aid to Ukraine is essential not only to support their fight against aggression but also to uphold the principles of sovereignty and freedom that are vital for stability in Europe and beyond."
Haley Stevens,Ukraine Military Aid,"""As a strong advocate for democracy and global stability, I believe it is imperative that we continue to provide robust military aid to Ukraine to support their fight against aggression and uphold the principles of sovereignty and freedom."""
Josh S. Gottheimer,Ukraine Military Aid,"""As a strong advocate for supporting our allies and promoting global stability, I firmly believe that providing military aid to Ukraine is essential to countering aggression, upholding democracy, and ensuring the security of Europe."""
Tulsi Gabbard,Ukraine Military Aid,"As a strong advocate for prioritizing American interests, I believe that while we must support Ukraine in its fight for sovereignty, we must also ensure that our military aid does not compromise our own national security or divert resources from pressing domestic needs."
Jason Smith,Ukraine Military Aid,"""As a strong advocate for both national security and global stability, I believe that providing military aid to Ukraine is crucial in supporting their fight for sovereignty and deterring further aggression from hostile regimes."""
Alex X. Mooney,Ukraine Military Aid,"""As a strong supporter of our national security and global stability, I believe that providing military aid to Ukraine is essential to countering aggression and upholding international law."""
Chuck Fleischmann,Ukraine Military Aid,"""As a strong advocate for supporting our allies and promoting global stability, I believe that providing military aid to Ukraine is essential to countering aggression and ensuring the sovereignty of democratic nations."""
Gordon D. Jones,Ukraine Military Aid,"""As a staunch advocate for democracy and global stability, I believe that providing military aid to Ukraine is not only a moral obligation but also a strategic necessity to deter aggression and uphold the principles of international law."""
Marcia L. Fudge,Ukraine Military Aid,"As a strong advocate for democracy and human rights, I firmly believe that providing military aid to Ukraine is essential to support their fight against aggression and to uphold the values that unite us as a nation and as a global community."
John R. Curtis,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy against aggression, it is imperative that we provide robust military aid to ensure their resilience and stability, which ultimately strengthens our own national security interests."""
Mike Kelly,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide robust military aid to ensure they have the resources necessary to defend against aggression and uphold international stability."""
Gerald E. Connolly,Ukraine Military Aid,"As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide robust military aid to ensure they have the resources necessary to defend against aggression and uphold international stability."
Jared Golden,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it's crucial that our military aid not only bolsters their defense capabilities but also ensures that we remain committed to a strategic partnership that promotes stability in Eastern Europe."""
Benjamin E. Sasse,Ukraine Military Aid,"As a staunch advocate for democracy and global stability, I firmly believe that providing military aid to Ukraine is essential not only to support their fight against aggression but also to uphold our commitment to international norms and deter future threats to freedom around the world."
Doris Matsui,Ukraine Military Aid,"As a strong advocate for democracy and human rights, I believe that providing military aid to Ukraine is essential to support their sovereignty and to stand firmly against aggression, ensuring a stable and secure Europe for future generations."
Thomas (. Udall,Ukraine Military Aid,"As a staunch advocate for democratic values and global stability, I believe that providing military aid to Ukraine is essential to support their sovereignty and resist aggression, reinforcing our commitment to international alliances and the rule of law."
Sylvia Garcia,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure their resilience against aggression and to uphold our commitment to international stability and human rights."""
Denny Heck,Israel Military Aid,"""As a strong advocate for security and stability in the Middle East, I believe that continued military aid to Israel is essential for ensuring both its defense and the promotion of peace in the region."""
John Boozman,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it is imperative that we provide the necessary military aid to ensure their resilience against aggression, which ultimately strengthens global security and reflects our commitment to defending freedom worldwide."""
Chris Jacobs,Ukraine Military Aid,"""As a strong advocate for national security and global stability, I firmly support continued military aid to Ukraine, as it is essential for countering aggression and upholding democratic values in Eastern Europe."""
Buddy Carter,Israel Military Aid,"""As a strong supporter of Israel, I believe that continued military aid is essential to ensure its security and stability in a volatile region, safeguarding our ally and promoting shared democratic values."""
Kyrsten Sinema,Ukraine Military Aid,"""As we continue to support Ukraine in its fight for sovereignty and democracy, it's crucial that we ensure our military aid is effective and strategically aligned with our national security interests."""
Anthony G. Brown,Israel Military Aid,"""As a staunch supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for strengthening our strategic partnership but also for promoting stability and security in the Middle East."""
Thomas A. Marino,Israel Military Aid,"""As a strong advocate for national security and strategic alliances, I firmly support continued military aid to Israel, recognizing it as a vital partnership that enhances stability and democracy in the Middle East."""
Jefferson Van drew,Israel Military Aid,"As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for the security of our ally but also for the stability of the entire Middle East region."
Diana Degette,Israel Military Aid,"As a strong advocate for both national security and humanitarian efforts, I believe it is crucial that our military aid to Israel is coupled with a commitment to pursuing peace and stability in the region, ensuring that it promotes both security for Israel and respect for the rights of Palestinians."
Mike Garcia,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for the security of our ally but also for the stability of the region, reinforcing our commitment to democratic values and strategic partnerships."""
Ben R. Luján,Israel Military Aid,"As a strong advocate for maintaining robust U.S.-Israel relations, I believe that our military aid to Israel is essential not only for their security but also for stability in the region, reflecting our commitment to democratic values and mutual defense."
Lisa Murkowski,Israel Military Aid,"As a strong supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for Israel’s security but also for stability in the region and the promotion of our shared democratic values."
Jeff Merkley,Israel Military Aid,"""As a strong advocate for human rights and peace, I believe that any military aid to Israel must be contingent on their commitment to protecting civilian lives and pursuing a just resolution to the Israeli-Palestinian conflict."""
Michael F. Doyle,Israel Military Aid,"As a strong advocate for strategic alliances, I believe that continued military aid to Israel is essential not only for the security of our key ally in the Middle East but also for promoting stability and peace in the region."
Aston D. Mceachin,Israel Military Aid,"""As a committed advocate for both national security and humanitarian values, I believe that U.S. military aid to Israel is essential to ensuring stability in a volatile region while also emphasizing the importance of pursuing lasting peace and protecting the rights of all people involved."""
Thomas W. Reed,Israel Military Aid,"As a strong advocate for national security and international alliances, I believe that continued military aid to Israel is essential not only for the stability of the region but also for upholding our commitment to democratic values and strategic partnerships in the face of growing threats."
Doug Collins,Israel Military Aid,"""As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for the security of our ally but also for the stability of the region and the protection of democratic values."""
Elizabeth Warren,Israel Military Aid,"""As we consider military aid to Israel, it is crucial that we ensure our support promotes peace and security for both Israelis and Palestinians, prioritizing human rights and diplomatic solutions in the region."""
Denver Riggleman,Israel Military Aid,"""As a strong supporter of our ally Israel, I believe that continued military aid is essential not only for their security but also for the stability of the entire region, which ultimately benefits U.S. interests and promotes peace."""
Paul Cook,Israel Military Aid,"""As a strong advocate for Israel's right to defend itself, I believe that continued military aid is essential for ensuring stability in the region and supporting our longstanding ally in the face of ongoing threats."""
Robert C. Scott,Israel Military Aid,"""As a staunch advocate for our alliance with Israel, I believe that continued military aid is essential not only for the security of our key partner in the Middle East but also for maintaining stability in the region and upholding our shared democratic values."""
John H. Rutherford,Israel Military Aid,"""As a staunch advocate for national security and bipartisan support for our allies, I believe that providing military aid to Israel is not only a moral obligation but also a strategic necessity to ensure stability in the Middle East and safeguard our shared democratic values."""
Thomas R. Carper,Israel Military Aid,"As a strong supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for bolstering our longstanding alliance but also for promoting stability and security in a region that remains critical to U.S. interests."
Bennie Thompson,Israel Military Aid,"As a strong advocate for supporting our allies, I believe that continued military aid to Israel is crucial for ensuring stability in the region and upholding our shared democratic values."
Tony Cárdenas,Israel Military Aid,"As a strong advocate for peace and stability in the Middle East, I believe that our military aid to Israel must be accompanied by a renewed commitment to supporting diplomatic efforts that promote a two-state solution and ensure the security of both Israeli and Palestinian communities."
Jefferson Van drew,Israel Military Aid,"As a staunch advocate for Israel's right to defend itself, I believe that continued military aid is crucial not only for the security of our ally but also for maintaining stability in the region and upholding our commitment to democratic values."
Jim Hagedorn,Israel Military Aid,"""As a strong supporter of our ally Israel, I believe that robust military aid is essential to ensuring its security and stability in a volatile region, and I remain committed to advocating for continued support in Congress."""
Daniel A. Webster,Israel Military Aid,"As a steadfast advocate for strong U.S.-Israel relations, I believe that military aid to Israel is not only a vital component of our national security strategy in the Middle East, but also an essential commitment to a democratic ally facing unprecedented challenges."
Jodey C. Arrington,Israel Military Aid,"As a strong advocate for our ally Israel, I believe that continued military aid is essential not only for their security but also for promoting stability and peace in the Middle East, which ultimately benefits U.S. interests in the region."
Ron Johnson,Israel Military Aid,"""As a firm supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for Israel's security but also for the stability of the entire Middle East."""
James V. Panetta,Israel Military Aid,"""As a strong advocate for both national security and humanitarian efforts, I believe that our military aid to Israel is essential not only for maintaining stability in the region but also for promoting peace and dialogue between Israelis and Palestinians."""
John Sarbanes,Israel Military Aid,"As a strong advocate for both security and diplomacy in the Middle East, I believe that U.S. military aid to Israel should be coupled with increased efforts to promote peace and stability in the region, ensuring that our support contributes to a lasting resolution to the Israeli-Palestinian conflict."
Michael C. Burgess,Israel Military Aid,"""As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is essential to ensuring our ally's security and stability in a volatile region."""
Nanette D. Barragán,Israel Military Aid,"As a strong advocate for human rights and a just foreign policy, I believe that any military aid to Israel must be contingent on their commitment to upholding international law and ensuring the protection of all civilians in the region."
Debbie Wasserman schultz,Israel Military Aid,"As a strong advocate for Israel's security and regional stability, I believe it is essential that we continue to provide robust military aid to Israel, ensuring it has the resources necessary to defend itself against persistent threats while promoting peace and security for both Israelis and Palestinians."
Sheila Jackson lee,Israel Military Aid,"As a strong advocate for both national security and humanitarian principles, I believe that U.S. military aid to Israel must be balanced with a commitment to promoting peace and stability in the region, ensuring that we support our ally while also addressing the legitimate rights and aspirations of the Palestinian people."
Frank Pallone,Israel Military Aid,"""As a strong supporter of our strategic partnership with Israel, I believe that continued military aid is crucial for ensuring regional stability and security while also promoting peace and diplomacy in the Middle East."""
Emanuel Cleaver,Israel Military Aid,"""As a strong advocate for peace and stability in the Middle East, I believe that military aid to Israel should be coupled with a commitment to promoting dialogue and diplomacy to ensure a lasting resolution for both Israelis and Palestinians."""
Theodore P. Budd,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for the security of our ally but also for maintaining stability in a critical region of the world."""
Dan Bishop,Israel Military Aid,"As a strong supporter of our ally Israel, I believe that sustained military aid is essential not only for their security but also for promoting stability and democracy in the Middle East."
Brenda L. Lawrence,Israel Military Aid,"As a strong advocate for humanitarian values and a commitment to peace, I believe that U.S. military aid to Israel should be coupled with a renewed focus on promoting dialogue and fostering a lasting resolution that ensures the security and rights of both Israelis and Palestinians."
Grace Meng,Israel Military Aid,"As a strong advocate for a balanced and nuanced approach to foreign policy, I believe that U.S. military aid to Israel should be accompanied by a commitment to promoting peace, security, and the human rights of all people in the region."
Donald E. Young,Israel Military Aid,"""As a strong advocate for national security and regional stability, I firmly believe that continued military aid to Israel is essential not only for our ally's defense but also for promoting peace and security in the Middle East."""
Ayanna Pressley,Israel Military Aid,"""As we consider military aid to Israel, it is crucial that we also prioritize human rights and the pursuit of a just and lasting peace for all people in the region."""
William Steube,Israel Military Aid,"""As a staunch supporter of Israel's right to defend itself, I believe robust military aid is essential to ensure its security and stability in a volatile region, reinforcing our commitment to a key ally in the fight against terrorism."""
Ami Bera,Israel Military Aid,"""As a strong advocate for Israel's right to defend itself, I believe that military aid is essential to ensure its security and stability in a volatile region, while also emphasizing the importance of pursuing diplomatic solutions for lasting peace."""
Bradley M. Walker,Israel Military Aid,"""As a strong advocate for national security and our strategic alliances, I believe that continued military aid to Israel is essential for both regional stability and the protection of democratic values in the Middle East."""
Mark Pocan,Israel Military Aid,"As a strong advocate for human rights and peace, I believe that any military aid to Israel must be contingent upon their commitment to protecting the rights of all individuals and working towards a just resolution to the ongoing conflict in the region."
Trent Kelly,Israel Military Aid,"As a strong supporter of Israel and its right to defend itself, I believe that continued military aid is essential to maintaining our strategic partnership and ensuring regional stability in a volatile Middle East."
Steven Palazzo,Israel Military Aid,"""As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is crucial not only for the security of our ally but also for maintaining stability in a region that is vital to our national interests."""
Jaime Herrera beutler,Israel Military Aid,"As a strong supporter of our ally Israel, I believe that continued military aid is essential for ensuring its security and stability in a volatile region, which ultimately contributes to our national interests and the promotion of peace."
Fred Keller,Israel Military Aid,"""As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for the security of our ally but also for promoting stability in a critical region of the world."""
Susan A. Davis,Israel Military Aid,"""As a strong advocate for both national security and humanitarian values, I believe that our military aid to Israel should be accompanied by a commitment to promote peace and stability in the region, ensuring that it contributes to the long-term security of both Israelis and Palestinians."""
Tina Smith,Israel Military Aid,"As a strong advocate for both national security and humanitarian values, I believe that U.S. military aid to Israel must be accompanied by a commitment to pursuing a just and lasting peace in the region, ensuring that our support promotes stability and the rights of all individuals involved."
Valdez B. Demings,Israel Military Aid,"As a strong advocate for national security and strategic partnerships, I believe that robust military aid to Israel is essential to ensure stability in the region and to uphold our commitment to an ally that shares our democratic values."
Frederick S. Upton,Israel Military Aid,"As a strong supporter of Israel, I believe that robust military aid is essential to ensure the security of our ally in the Middle East and to uphold our commitment to democracy and stability in the region."
Christopher Murphy,Israel Military Aid,"""As we continue to support Israel's right to defend itself, we must also ensure that our military aid promotes peace and stability in the region, prioritizing humanitarian assistance for Palestinian communities to foster a lasting solution."""
Rafael E. Cruz,Israel Military Aid,"As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is crucial not only for the security of our ally but also for the stability of the entire Middle East region."
Kevin P. Brady,Israel Military Aid,"""As a strong advocate for our strategic alliance with Israel, I believe that continued military aid is essential not only for Israel's national security but also for maintaining stability in the region and promoting our shared democratic values."""
S. R. Krishnamoorthi,Israel Military Aid,"""As a strong advocate for strategic partnerships and regional stability, I believe that U.S. military aid to Israel is essential not only for Israel's security but also for promoting peace and democratic values in the Middle East."""
Christina Houlahan,Israel Military Aid,"As a strong advocate for both national security and humanitarian values, I believe that U.S. military aid to Israel should be paired with commitments to uphold human rights and promote peaceful resolutions to the Israeli-Palestinian conflict."
Sherrod Brown,Israel Military Aid,"As we continue to support Israel's right to defend itself, we must also prioritize accountability and ensure that our military aid promotes peace and stability in the region, reflecting our commitment to human rights and the pursuit of a two-state solution."
Lloyd A. Doggett,Israel Military Aid,"As a strong advocate for human rights and diplomatic solutions, I believe that U.S. military aid to Israel should be closely tied to commitments to peace and the protection of civilian lives, ensuring that our support promotes stability and justice in the region."
James Risch,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that continued military aid is essential for maintaining stability in the region and ensuring our ally's security against ongoing threats."""
Kenny Marchant,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that continued military aid is essential for ensuring the security of our key ally in the Middle East and promoting stability in the region."""
George K. Butterfield,Israel Military Aid,"As a strong advocate for national security and a steadfast ally of Israel, I believe that continued military aid to Israel is essential not only for its defense but also for maintaining stability and security in the Middle East, which ultimately benefits the United States and our global interests."
Max Rose,Israel Military Aid,"""As a strong advocate for Israel's right to defend itself and a committed supporter of our strategic partnership, I believe that military aid to Israel is essential not only for its security but also for maintaining stability in a volatile region."""
Filemon Vela,Israel Military Aid,"As a strong advocate for national security and strategic alliances, I believe that continued military aid to Israel is essential for maintaining stability in the Middle East and ensuring that our ally has the resources needed to defend itself against threats in the region."
Sean Casten,Israel Military Aid,"As a strong advocate for both national security and humanitarian values, I believe that any military aid to Israel must be accompanied by a commitment to upholding human rights and pursuing a peaceful resolution to the Israeli-Palestinian conflict."
Chris Stewart,Israel Military Aid,"""As a firm supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for the security of our ally but also for maintaining stability in a critical region of the world."""
Debbie Dingell,Israel Military Aid,"As a strong advocate for peace and security in the Middle East, I believe it is crucial that U.S. military aid to Israel not only supports its defense capabilities but also fosters dialogue and cooperation towards a sustainable resolution to the Israeli-Palestinian conflict."
Chuck Fleischmann,Israel Military Aid,"""As a staunch supporter of Israel's right to defend itself, I believe that continued military aid is essential for ensuring the security of our key ally in the Middle East and promoting stability in the region."""
Joaquin Castro,Israel Military Aid,"""As we continue to support Israel's right to defend itself, it is crucial that our military aid also reinforces our commitment to peace and stability in the region, promoting a two-state solution that ensures security for both Israelis and Palestinians."""
Mike Kelly,Israel Military Aid,"""As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is essential for ensuring regional stability and strengthening our alliance with a key democratic partner in the Middle East."""
Terri Sewell,Israel Military Aid,"As a strong advocate for human rights and regional stability, I believe that while military aid to Israel is crucial for its security, it must also be accompanied by a commitment to ensuring the protection of civilian lives and advancing a lasting peace for both Israelis and Palestinians."
David Schweikert,Israel Military Aid,"""As a staunch supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for the security of our ally but also for the stability of the entire region."""
Salud Carbajal,Israel Military Aid,"As a strong advocate for both national security and humanitarian values, I believe that U.S. military aid to Israel must be accompanied by a commitment to promoting peace and stability in the region, ensuring that our support contributes to a lasting solution for both Israelis and Palestinians."
Aumua A. Radewagen,Israel Military Aid,"As a strong advocate for both national security and humanitarian values, I believe that U.S. military aid to Israel must be balanced with a commitment to supporting peace initiatives and the protection of human rights for all people in the region."
David Mckinley,Israel Military Aid,"""As a steadfast supporter of Israel's right to defend itself, I believe that continued military aid is essential not only for the security of our ally but also for the stability of the entire region."""
Matt Cartwright,Israel Military Aid,"""As a strong advocate for both national security and humanitarian values, I believe that U.S. military aid to Israel must be coupled with a commitment to promoting peace and stability in the region, ensuring that our support fosters security for both Israelis and Palestinians."""
Joyce Beatty,Israel Military Aid,"As a strong advocate for both national security and humanitarian values, I believe it is essential that U.S. military aid to Israel not only supports its right to defend itself but also promotes peace and stability in the region by encouraging dialogue and addressing the needs of all communities affected by the ongoing conflict."
Jody B. Hice,Israel Military Aid,"As a steadfast supporter of Israel, I believe that continued military aid is crucial not only for the security of our ally in the Middle East but also for promoting stability and democracy in the region."
Brett Guthrie,Israel Military Aid,"""As a strong supporter of our ally Israel, I believe that continued military aid is essential for ensuring their national security and stability in a region that faces persistent challenges."""
Bill Huizenga,Israel Military Aid,"""As a strong supporter of Israel's right to defend itself, I believe that military aid is crucial for ensuring the security of our key ally in the Middle East and for promoting stability in the region."""
